note: optimizatiom is o3 for all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threads - parallel addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Nr Threds,iteration,T_reading,T_multiplication,T_writing,T_total,computenode,ora,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,1000,20,1,56.9256,433.76,94.388,585.15,53,11:39,,,1000,20,55.92079,432.6196,95.78025,584.4123,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,56.0775,428.155,96.001,580.335,,,,,,,,,,,,Speed-Up,12.12741416,,,,,,,,,,,,,,,,,,
,,,3,55.8885,435.689,95.9587,587.623,,,,,,,,,,,,Efficiency,0.606370708,,,,,,,,,,,,,,,,,,
,,,4,56.0538,429.498,95.6337,581.267,,,,,,,,,,,,Cost,11688.246,,,,,,,,,,,,,,,,,,
,,,5,56.2012,435.118,95.6213,587.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,55.7251,436.888,97.0469,589.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,55.277,434.317,95.7858,585.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,55.9966,433.534,95.843,585.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,55.0339,429.406,95.5626,580.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,56.0287,429.831,95.9615,581.911,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,,40,1,56.4844,440.739,96.9186,594.237,53,1:36,,,1000,40,56.51186,441.319,98.0042,595.9349,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,56.3419,452.094,95.5811,604.11,,,,,,,,,,,,Speed-Up,11.89292656,,,,,,,,,,,,,,,,,,
,,,3,56.6229,440.563,95.6713,592.942,,,,,,,,,,,,Efficiency,0.297323164,,,,,,,,,,,,,,,,,,
,,,4,55.5957,433.881,97.6039,587.175,,,,,,,,,,,,Cost,23837.396,,,,,,,,,,,,,,,,,,
,,,5,55.9366,432.693,95.9773,584.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,55.4546,456.464,95.9304,607.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,56.073,440.788,114.801,611.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,59.9202,445.107,95.8444,600.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,56.6555,438.624,95.6764,591.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,56.0338,432.237,96.0376,584.416,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,10k,20,1,9153.49,820638,9772.72,839564,53,1:55,,,10k,20,5746.31,911014.7,9714.104,926175.313,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,4349.96,957204,9796.84,971351,,,,,,,,,,,,Speed-Up,5.835823639,,,,,,,,,,,,,,,,,,
,,,3,4332.14,954801,9754.27,968887.41,,,,,,,,,,,,Efficiency,0.291791182,,,,,,,,,,,,,,,,,,
,,,4,4305.22,953118,9738.64,967161.86,,,,,,,,,,,,Cost,18523506,,,,,,,,,,,,,,,,,,
,,,5,4288.44,951390,9705.51,965384.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,4272.36,949222,9681.9,963176.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,4256.13,947010,9650.87,961917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,4238.95,944987,9612.43,958839.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,9142.08,817215,9728.55,834085.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,9124.33,814562,9699.31,831385.64,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,10k,40,1,9278.24,832290,9622.49,851191,51,10:45,,,10k,40,4489.609,853896.1,11362.87,869748.77,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,4033.78,860732,9743.01,874509,,,,,,,,,,,,Speed-Up,6.214433075,,,,,,,,,,,,,,,,,,
,,,3,3991.97,858359,12204.6,874556,,,,,,,,,,,,Efficiency,0.155360827,,,,,,,,,,,,,,,,,,
,,,4,3849.13,857321,11987.5,873157.63,,,,,,,,,,,,Cost,34789952,,,,,,,,,,,,,,,,,,
,,,5,3922.45,856950,11780.9,872653.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,3987.33,857124,11155.6,872266.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,4010.66,855789,11702.4,871502.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,3850.77,854301,11991.2,870143.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,3999.84,853983,11845.7,869828.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,3971.92,852112,11595.3,867679.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Threads - parallel reding + add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M,Nr Threds,iteration,T_reading,T_multiplication,T_writing,T_total,computenode,ora,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,1000,20,1,12.6301,202.878,96.3231,311.945,56,11:11,,,1000,20,12.5477,199.3272,94.26436,306.1784,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,12.7371,202.043,95.1325,310.052,,,,,,,,,,,,Speed-Up,23.14861025,,,,,,,,,,,,,,,,,,
,,,3,13.9513,204.461,95.8406,314.39,,,,,,,,,,,,Efficiency,1.157430512,,,,,,,,,,,,,,,,,,
,,,4,11.8893,200.233,94.7189,306.842,,,,,,,,,,,,Cost,6123.4,,,,,,,,,,,,,,,,,,
,,,5,13.1034,199.802,93.9231,306.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,12.5367,198.11,94.441,305.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,11.7532,197.995,92.3314,302.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,12.0044,196.631,93.9021,302.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,13.2305,195.884,93.1477,302.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,11.641,195.235,92.8832,299.759,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,1000,40,1,17.8564,209.59,98.0924,325.724,56,11:30,,,1000,40,17.27262,210.1444,96.36935,323.8353,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,17.6116,213.32,94.4644,325.542,,,,,,,,,,,,Speed-Up,21.8848541,,,,,,,,,,,,,,,,,,
,,,3,18.1785,218.564,100.04,336.941,,,,,,,,,,,,Efficiency,0.547121352,,,,,,,,,,,,,,,,,,
,,,4,17.0923,211.234,97.2211,325.547,,,,,,,,,,,,Cost,12954,,,,,,,,,,,,,,,,,,
,,,5,17.3871,210.441,95.8843,323.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,17.1054,209.978,96.2035,323.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,16.8827,208.113,95.47,320.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,16.7294,207.898,96.0002,320.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,17.0512,206.745,95.2294,319.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,16.8316,205.561,95.0882,317.481,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,10k,20,1,13861,834384,9518.12,857764,,,,,10k,40,1619.681,837932.5,9634.452,850258.992,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,256.321,844090,9775.3,854103,,,,,,,,,,,,Speed-Up,6.356881503,,,,,,,,,,,,,,,,,,
,,,3,254.891,841090,9734.6,851819.49,,,,,,,,,,,,Efficiency,0.317844075,,,,,,,,,,,,,,,,,,
,,,4,256.034,842215,9712.2,851961.23,,,,,,,,,,,,Cost,17005180,,,,,,,,,,,,,,,,,,
,,,5,253.519,839980,9689.5,851189.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,255.748,838626,9651.1,849525.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,261.913,836533,9604.3,848280.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,264.181,835410,9578.4,847169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,265.872,834095,9553.2,846020.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,267.331,832902,9527.8,844757.98,,,,AVG:,M,Nr Threds,T_reading,T_multiplication,T_writing,T_total,,Metric,Value,,,,,,,,,,,,,,,,,,
,10k,40,1,8079.83,843804,9761.62,861646,,,,,10k,40,1017.3568,839981.6,9634.945,850433.985,,Time Complexity,O(N^3),,,,,,,,,,,,,,,,,,
,,,2,229.094,840249,9637.8,850116,,,,,,,,,,,,Speed-Up,6.355573401,,,,,,,,,,,,,,,,,,
,,,3,237.523,844090,9775.3,854103,,,,,,,,,,,,Efficiency,0.158889335,,,,,,,,,,,,,,,,,,
,,,4,228.405,838773,9615.2,848616.61,,,,,,,,,,,,Cost,34017392,,,,,,,,,,,,,,,,,,
,,,5,227.621,836119,9582.4,845929.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,226.873,835762,9551.1,843539.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,235.141,839340,9632.7,849207.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,236.225,842230,9618.4,852084.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,238.044,841567,9573.5,851378.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,234.812,837882,9601.43,847718.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
